Timestamp,Extractor initials,Study ID (format: first author_year_letterIfNeeded ),DOI,"Provided citation, DOI or open access to published protocol","Provided Boolean-style full search string and state the platform for which the string is formatted (e.g., Web of Science format)",The authors indicated whether they considered non-English studies during the screening process,"Described the process by which the comprehensiveness of the search strategy was assessed (i.e., list of benchmark articles)","Described the methodology for screening articles/studies for relevance. Methods for consistency of screening decisions (at title, abstract, and full texts levels) checking must be described.",Provided the number of articles retained following full text screening,Provided a file and/or table containing raw extracted quantitative or qualitative data (study findings) from included studies,"Provided metadata (i.e. detailed description of extracted raw variables) in a separate table, list and/or file for included studies",Described any financial or non-financial competing interests that the review authors may have or provided a statement of the absence of any potential competing interests,Provided any supplemental files,The authors reported which languages were included in the literature search,"If the authors explicitly stated that they intended to include any studies in languages other than English in their final dataset, select “Yes”.",The authors reported using non-English search terms or provided search strings formatted for non-English databases as part of their search strategy.,"The authors described the data extraction process (who extracted, double-checking, and consistency)","The authors reported and visualised the review flow and the number of studies retained at each stage (e.g., in a PRISMA/ROSES diagram). ","The authors provided bibliographic information (for example, author, year, title, DOI) for all studies included in the synthesis.","The authors provided bibliographic information for studies excluded at the full-text screening stage, including reasons for exclusion.",The authors provided analysis and/or figure-generation computer code/scripts.
2/9/2026 13:19:19,SPH,Martinez_2025,10.1016/j.ecoinf.2025.103485,No,Yes,No,No,Partially,Yes,No,No,Yes,Yes,No,No,NA,No,Yes,No,No,No
2/9/2026 13:33:46,SPH,Zerrouk_2025,10.3390/rs17213605,No,No,No,No,Partially,Yes,No,No,Yes,No,Yes,No,NA,Yes,Yes,No,No,No
2/9/2026 13:52:37,SPH,Matthews_2025,10.1002/ecs2.70419,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,NA,No,Yes,Yes,No,No
2/9/2026 14:01:48,SPH,Lu_2025,10.1007/s11427-025-3074-8,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,NA,No,No,No,No,No
2/9/2026 14:18:05,SPH,Kroth_2025,10.1016/j.ecolind.2025.114141,No,Yes,No,No,Partially,Yes,Yes,No,Yes,Yes,Yes,No,NA,No,Yes,Yes,No,No
2/9/2026 15:07:58,SPH,Kim_2025,10.3389/fenvs.2025.1659344,No,Yes,No,No,Partially,Yes,No,No,Yes,Yes,Yes,No,NA,No,Yes,Yes,Yes,No
2/9/2026 15:30:32,SPH,Wang_2025,10.3390/atmos16091102,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,NA,Yes,No,No,No,No
2/9/2026 15:42:40,SPH,Abdenour_2025,10.3390/su17177962,No,Yes,No,No,Partially,Yes,No,No,Yes,Yes,Yes,No,NA,No,Yes,Yes,No,No
2/9/2026 15:57:49,SPH,Feldmeier_2025,10.1016/j.biocon.2025.111406,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,NA,No,No,Yes,No,No
2/9/2026 17:18:24,SPH,Chimienti_2025,10.1111/2041-210X.70063,No,Partially,No,No,Partially,Yes,No,No,Yes,No,No,No,NA,No,No,No,No,No
2/10/2026 11:36:24,SPH,Miller_2025,10.3390/biology14050520,Yes,Partially,No,No,Partially,Yes,No,No,Yes,No,Yes,No,NA,Yes,Yes,Yes,No,No
2/10/2026 11:47:59,SPH,Cipriano_2025,10.1016/j.ecolmodel.2025.111164,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,NA,No,No,No,No,No
2/10/2026 11:58:42,SPH,Chiloane_2025,10.3390/rs17081460,No,Yes,No,No,Partially,Yes,No,No,Yes,No,Yes,No,NA,No,Yes,No,No,No
2/10/2026 12:59:32,SPH,Axford_2024,10.1016/j.ecoinf.2024.102842,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,NA,Yes,No,Yes,No,No
2/10/2026 13:13:16,SPH,Pasanisi_2024,10.1016/j.ecoinf.2024.102700,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,NA,Yes,Yes,Yes,No,No
2/10/2026 13:36:32,SPH,Wang_2024,10.3390/rs16122204,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,NA,No,No,No,No,No
2/10/2026 13:57:22,SPH,Kohlberg_2024,10.1111/1365-2664.14630,No,Yes,Yes,No,Partially,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
2/10/2026 14:32:28,SPH,Jelas_2024,10.3389/ffgc.2024.1300060,No,Yes,No,No,Partially,Yes,Yes,No,Yes,No,Yes,No,NA,No,Yes,No,No,No
2/10/2026 14:44:30,SPH,Tiwari_2023,10.1007/s12524-023-01758-1,No,Partially,No,No,No,No,No,No,Yes,No,No,No,NA,No,No,No,No,No
2/10/2026 15:04:20,SPH,Lazcano-Hernandez_2023,10.3389/fmars.2023.1216426,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,NA,No,No,No,No,No
2/10/2026 15:28:54,SPH,Rubbens_2023,10.1093/icesjms/fsad100,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,NA,No,No,Yes,No,No
2/10/2026 15:41:56,SPH,Sharma_2023,10.3390/su15097128,No,Partially,No,No,Partially,Yes,Yes,No,Yes,Yes,No,No,NA,No,No,Yes,Yes,No
2/10/2026 15:59:06,SPH,Ho_2022,10.1111/2041-210X.13992,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,NA,No,No,Yes,No,No
2/12/2026 10:28:52,SPH,Cruz_2022,10.3390/w14203249,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,NA,Yes,Yes,Yes,No,No
2/12/2026 15:12:55,SPH,Borowiec_2022,10.1111/2041-210X.13901,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,NA,No,No,Yes,No,No
2/12/2026 15:34:42,SPH,Farrell_2022,10.1098/rspb.2021.2721,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,NA,No,No,No,No,Yes
2/12/2026 16:10:01,SPH,Hussein_2022,10.1016/j.ecoinf.2022.101641,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,NA,Yes,No,No,No,No
2/12/2026 16:20:37,SPH,Stupariu_2022,10.1007/s10980-021-01366-9,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,NA,No,Yes,No,No,No
2/12/2026 16:33:08,SPH,Silva_2021,10.1016/j.envsoft.2021.105203,No,Partially,No,No,No,Yes,No,No,Yes,Yes,No,No,NA,No,No,No,No,No
2/12/2026 16:47:23,SPH,Nitoslawski_2021,10.1029/2021EF002123,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No
2/13/2026 10:20:15,SPH,Lurig_2021,10.3389/fevo.2021.642774,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,NA,No,No,No,No,No
2/13/2026 10:42:34,SPH,Corcoran_2021,10.1111/2041-210X.13581,No,Partially,No,No,No,Yes,No,No,No,No,No,No,NA,No,No,Yes,No,No
2/13/2026 10:53:13,SPH,Lopez-Marcano_2020,10.1002/aqc.3432,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,NA,No,No,Yes,No,No
