Scopus-4076-Analyze-Year

"Your query : (SUBJAREA ( AGRI OR ENVI ) TITLE-ABS-KEY ( ( ""Artificial intelligence"" OR ""Machine learning"" OR ""Deep learning"" OR ""neural network*"" OR ""Reinforcement learning"" OR ""Large Language Model*"" OR ""ChatGPT"" OR ""machine reasoning"" OR ""natural language processing"" OR ""NLP"" OR ""LLM*"" OR ""AI/ML"" OR ""GPT*"" OR ""machine model*"" OR ""supervised learning"" OR ""unsupervised learning"" OR ""vector machine"" OR ""classifier*"" OR ""support vector"" OR ""topic model*"" OR ""computer vision"" ) AND ( Ecolog* OR (evolution* W/3 biology) OR biodiv* OR conservation) AND (""review"" OR ""systematic map"" OR ""systematic surv*"" OR ""literature surv*"" OR ""recent advancements"" OR insight* OR meta-analysis OR metareview* OR ""meta epidemiolog*"" OR ""meta-epidemiolog*"" OR ""critical review*"" OR ""scoping review*"" OR ""rapid review*"") ))"


Number of results : 4076

"YEAR",
"2026","691"
"2025","1551"
"2024","729"
"2023","301"
"2022","205"
"2021","134"
"2020","99"
"2019","74"
"2018","35"
"2017","30"
"2016","29"
"2015","23"
"2014","16"
"2013","14"
"2012","18"
"2011","15"
"2010","21"
"2009","12"
"2008","14"
"2007","7"
"2006","12"
"2005","13"
"2004","5"
"2003","4"
"2002","4"
"2001","5"
"2000","5"
"1999","2"
"1998","1"
"1997","2"
"1995","3"
"1989","1"
"1988","1"
