year,animcog_research,animcog_review,biol_research,biol_review
2024,58811,5077,697407,96724
2023,46112,3136,670320,93318
2022,42186,3299,699794,97318
2021,37226,4302,689492,98461
2020,30961,3689,637164,80635
2019,25931,3320,570774,63720
2018,21966,3216,538772,60578
2017,19854,2833,503455,55749
2016,18519,2557,503805,51184
2015,17878,2504,502266,45912
2014,16858,2507,495888,45887
2013,15551,2446,472877,44868
2012,13856,2394,447930,46562
2011,12788,2088,426256,41004
2010,11451,2148,398472,40112
2009,10820,1996,381456,38340
2008,9997,1882,360542,37570
2007,8990,1772,347612,35599
2006,8221,1868,320946,36960
2005,7004,1704,296073,35712
2004,6620,1549,280945,33365
2003,5590,1260,266083,33236
2002,5481,962,264200,26344
2001,5074,710,261980,20568
2000,4742,571,259567,19508
1999,4472,478,257681,15505
1998,4180,372,260704,13683
1997,3948,404,266532,13273
1996,3747,286,267712,13026
1995,3495,242,238969,9379
1994,3298,193,233986,8557
1993,3033,218,218418,7918
1992,2803,179,209255,6972
1991,2524,158,203391,6603
1990,2620,126,201168,5884
1989,2193,114,195597,5897
1988,2105,145,186959,5773
1987,1861,114,176048,4218
1986,1920,106,172710,3223
1985,1851,83,166173,2924
1984,1684,64,162680,2675
1983,1644,55,152229,2572
1982,1753,61,152934,2028
1981,1575,61,148010,1996
1980,1505,52,139988,1879
1979,1625,43,134927,1735
1978,1412,31,125999,1553
1977,1301,55,120479,1339
1976,1359,46,112807,1321
1975,1445,45,107975,1149
