Category,Yes,Partially,No,NA
Protocol available,1.0,0.0,71.0,0.0
Full search string reported,45.0,24.0,3.0,0.0
Non-English reviews considered,2.0,0.0,70.0,0.0
Search comprehensiveness assessed,5.0,0.0,67.0,0.0
Screening method described,12.0,23.0,37.0,0.0
Full-text inclusion counts,57.0,0.0,15.0,0.0
Raw data provided,15.0,0.0,57.0,0.0
Metadata provided,5.0,0.0,67.0,0.0
Competing interests reported,59.0,0.0,13.0,0.0
Provided any supplemental files,28.0,0.0,44.0,0.0
Languages searched reported,23.0,0.0,49.0,0.0
Intended to included Non-English reviews,2.0,0.0,70.0,0.0
Reported Non-english terms used,0.0,0.0,3.0,69.0
Data extraction process described,12.0,0.0,59.0,1.0
Provide PRSIMA/ROSES diagram,25.0,0.0,47.0,0.0
Included reviews listed,28.0,0.0,44.0,0.0
Excluded reviews listed,3.0,0.0,69.0,0.0
Code provided,2.0,0.0,70.0,0.0
