Category,Yes,Partially,No,NA
Protocol available,0.0,0.0,45.0,0.0
Full search string reported,29.0,15.0,1.0,0.0
Non-English reviews considered,2.0,0.0,43.0,0.0
Search comprehensiveness assessed,5.0,0.0,40.0,0.0
Screening method described,10.0,9.0,26.0,0.0
Full-text inclusion counts,33.0,0.0,12.0,0.0
Raw data provided,13.0,0.0,32.0,0.0
Metadata provided,4.0,0.0,41.0,0.0
Competing interests reported,34.0,0.0,11.0,0.0
Provided any supplemental files,19.0,0.0,26.0,0.0
Languages searched reported,11.0,0.0,34.0,0.0
Intended to included Non-English reviews,2.0,0.0,43.0,0.0
Reported Non-english terms used,0.0,0.0,3.0,42.0
Data extraction process described,9.0,0.0,35.0,1.0
Provide PRSIMA/ROSES diagram,10.0,0.0,35.0,0.0
Included reviews listed,18.0,0.0,27.0,0.0
Excluded reviews listed,1.0,0.0,44.0,0.0
Code provided,2.0,0.0,43.0,0.0
