FileID,Algorithm,Era
Martinez_2025,Random forests,Classic
Martinez_2025,CNNs,Modern
Zerrouk_2025,RNNs,Modern
Zerrouk_2025,CNNs,Modern
Zerrouk_2025,Boosted trees,Classic
Zerrouk_2025,Random forests,Classic
Zerrouk_2025,Transformers / LLMs,Contemporary
Zerrouk_2025,SVMs,Classic
Matthews_2025,Random forests,Classic
Matthews_2025,CNNs,Modern
Lu_2025,CNNs,Modern
Lu_2025,Random forests,Classic
Lu_2025,Transformers / LLMs,Contemporary
Kroth_2025,ANNs,Modern
Kroth_2025,Boosted trees,Classic
Kroth_2025,Random forests,Classic
Kroth_2025,SVMs,Classic
Kim_2025,RNNs,Modern
Kim_2025,CNNs,Modern
Kim_2025,Random forests,Classic
Kim_2025,Transformers / LLMs,Contemporary
Kim_2025,SVMs,Classic
Wang_2025,Decision trees,Classic
Wang_2025,CNNs,Modern
Wang_2025,Random forests,Classic
Wang_2025,Transformers / LLMs,Contemporary
Wang_2025,SVMs,Classic
Abdenour_2025,CNNs,Modern
Abdenour_2025,Random forests,Classic
Abdenour_2025,kNN,Classic
Abdenour_2025,SVMs,Classic
Chimienti_2025,CNNs,Modern
Chimienti_2025,Random forests,Classic
Chimienti_2025,Transformers / LLMs,Contemporary
Chimienti_2025,kNN,Classic
Chimienti_2025,SVMs,Classic
Miller_2025,RNNs,Modern
Miller_2025,Genetic / Evolutionary algorithms,Classic
Miller_2025,CNNs,Modern
Miller_2025,kNN,Classic
Miller_2025,Autoencoder,Modern
Miller_2025,SVMs,Classic
Cipriano_2025,RNNs,Modern
Cipriano_2025,Genetic / Evolutionary algorithms,Classic
Cipriano_2025,CNNs,Modern
Cipriano_2025,Hidden Markov models,Classic
Cipriano_2025,Random forests,Classic
Cipriano_2025,Transformers / LLMs,Contemporary
Cipriano_2025,kNN,Classic
Cipriano_2025,Autoencoder,Modern
Cipriano_2025,SVMs,Classic
Chiloane_2025,RNNs,Modern
Chiloane_2025,Decision trees,Classic
Chiloane_2025,CNNs,Modern
