FileID,Data Modality
Martinez_2025,Numeric
Martinez_2025,Images
Zerrouk_2025,Numeric
Zerrouk_2025,Images
Matthews_2025,Numeric
Matthews_2025,Images
Lu_2025,Numeric
Lu_2025,Audio
Lu_2025,Images
Kroth_2025,Numeric
Kroth_2025,Images
Kim_2025,Numeric
Kim_2025,Images
Wang_2025,not specified
Abdenour_2025,Numeric
Feldmeier_2025,not specified
Chimienti_2025,Images
Miller_2025,Numeric
Miller_2025,Audio
Miller_2025,Images
Cipriano_2025,not specified
Chiloane_2025,Numeric
Chiloane_2025,Images
Axford_2024,Images
Pasanisi_2024,Numeric
Wang_2024,Numeric
Wang_2024,Images
Kohlberg_2024,Audio
Jelas_2024,Numeric
Jelas_2024,Images
Tiwari_2023,Numeric
Tiwari_2023,Images
Lazcano-Hernandez_2023,Numeric
Lazcano-Hernandez_2023,Images
Rubbens_2023,Numeric
Rubbens_2023,Audio
Rubbens_2023,Images
Sharma_2023,Images
Ho_2022,Numeric
Ho_2022,Images
Cruz_2022,Images
Borowiec_2022,Numeric
Borowiec_2022,Audio
Borowiec_2022,Video
Borowiec_2022,Images
Farrell_2022,Numeric
Hussein_2022,Images
Stupariu_2022,Numeric
Stupariu_2022,Images
Silva_2021,Numeric
Nitoslawski_2021,Numeric
Nitoslawski_2021,Images
Lurig_2021,Images
Corcoran_2021,Images
Lopez-Marcano_2020,Images
Christin_2019,Numeric
Christin_2019,Images
Gobeyn_2019,Numeric
Dujon_2019,Images
Liu_2018,Numeric
Liu_2018,Images
Weinstein_2017,Images
Kulicki_2024,Numeric
Kulicki_2024,Images
Bose_2025,Numeric
Bose_2025,Images
Mkuzi_2025,Images
Gallerani_2025,Numeric
Gallerani_2025,Images
Liu_2025,Numeric
Liu_2025,Images
Xu_2025,Numeric
Xu_2025,Images
Kyalo_2025,Numeric
Kyalo_2025,Images
Wu_2025,Images
Suleman_2025,Images
Morante-Carballo_2025,Numeric
Morante-Carballo_2025,Images
Khabibullaev_2024,not specified
Ozcan_2024,Numeric
Ozcan_2024,Images
Bao_2024,Numeric
Zhong_2024,Numeric
Zhong_2024,Images
Cardenas_2024,Images
Xu_2024,Images
Ma_2024,Images
Matyukira_2024,Images
Safonova_2023,Images
Lee_2023,Numeric
Hirchmugl_2023,Numeric
Hirchmugl_2023,Images
Veiga-Branco_2023,Images
Pillodar_2023,Images
Mulugeta_2024,Images
Kerry_2022,Audio
Kerry_2022,Video
Kerry_2022,Images
Katal_2022,Images
Amarathunga_2021,Images
Rana_2021,not specified
Houinato_2025,Images
Lee_2025,Numeric
Lee_2025,Images
Shivaprakash_2022,Numeric
Shivaprakash_2022,Audio
Shivaprakash_2022,Images
Hayes_2025,Numeric
Hayes_2025,Images
MacielPelanda_2025,Images
Campbell_2025,Numeric
Campbell_2025,Audio
Campbell_2025,Images
