"authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","authors_with_affiliations","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Chimienti, M.; Kato, A.; Seydi, V.; Schoombie, S.; Hinke, J.T.; Joy, R.; Lidgard, D.C.; Oosthuizen, W.C.; Papastamatiou, Y.P.; Ropert-Coudert, Y.; Takahashi, A.; Thiebot, J.-B.; Visani, M.; Coustaty, M.; Jeanniard-Du-Dot, T.","Chimienti, Marianna (56377056800); Kato, Akiko (7403314052); Seydi, Vahid (23490316700); Schoombie, Stefan (56938601500); Hinke, Jefferson T. (6603789551); Joy, Ruth (35879273900); Lidgard, Damian C. (6603248025); Oosthuizen, W. Chris (59924813500); Papastamatiou, Yannis P. (6507964322); Ropert-Coudert, Yan (59838575600); Takahashi, Akinori (7402798902); Thiebot, Jean Baptiste (35199127600); Visani, Muriel (55888035100); Coustaty, Mickaël (25631940800); Jeanniard-Du-Dot, Tiphaine (25027268300)","56377056800; 7403314052; 23490316700; 56938601500; 6603789551; 35879273900; 6603248025; 59924813500; 6507964322; 59838575600; 7402798902; 35199127600; 55888035100; 25631940800; 25027268300","Reviewing seas of data: Integrating image-based bio-logging and artificial intelligence to enhance marine conservation","2026","Methods in Ecology and Evolution","17","2","","272","290","2","10.1111/2041-210x.70063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008457821&doi=10.1111%2F2041-210x.70063&partnerID=40&md5=7d16de53093026667b392cee507a272a","Bangor University, Bangor, Gwynedd, United Kingdom; Centre d’Études Biologiques de Chizé (CEBC), Villiers-en-Bois, Nouvelle-Aquitaine, France; Laboratoire Informatique, Image et Interaction (L3i), La Rochelle, Nouvelle-Aquitaine, France; Environment and Conservation, University of Cape Town, Cape Town, Western Cape, South Africa; The National Institute for Theoretical and Computational Sciences, Matieland, South Africa; U.S. Antarctic Marine Living Resources Program, NOAA National Marine Fisheries Service Southwest Regional Office, Long Beach, CA, United States; School of Environmental Sciences, Simon Fraser University, Burnaby, BC, Canada; Ocean and Ecosystem Sciences Division, Fisheries and Oceans Canada, Ottawa, ON, Canada; Department of Biological Sciences, Florida International University, Miami, FL, United States; National Institute of Polar Research, Tokyo, Japan; Polar Science Program, The Graduate University for Advanced Studies, Hayama, Kanagawa, Japan; Graduate School of Fisheries Sciences, Hokkaido University, Sapporo, Hokkaido, Japan","Chimienti, Marianna, Bangor University, Bangor, Gwynedd, United Kingdom, Centre d’Études Biologiques de Chizé (CEBC), Villiers-en-Bois, Nouvelle-Aquitaine, France, Laboratoire Informatique, Image et Interaction (L3i), La Rochelle, Nouvelle-Aquitaine, France; Kato, Akiko, Centre d’Études Biologiques de Chizé (CEBC), Villiers-en-Bois, Nouvelle-Aquitaine, France; Seydi, Vahid, Bangor University, Bangor, Gwynedd, United Kingdom; Schoombie, Stefan, Environment and Conservation, University of Cape Town, Cape Town, Western Cape, South Africa, The National Institute for Theoretical and Computational Sciences, Matieland, South Africa; Hinke, Jefferson T., U.S. Antarctic Marine Living Resources Program, NOAA National Marine Fisheries Service Southwest Regional Office, Long Beach, CA, United States; Joy, Ruth, School of Environmental Sciences, Simon Fraser University, Burnaby, BC, Canada; Lidgard, Damian C., Ocean and Ecosystem Sciences Division, Fisheries and Oceans Canada, Ottawa, ON, Canada; Oosthuizen, W. Chris, Environment and Conservation, University of Cape Town, Cape Town, Western Cape, South Africa; Papastamatiou, Yannis P., Department of Biological Sciences, Florida International University, Miami, FL, United States; Ropert-Coudert, Yan, Centre d’Études Biologiques de Chizé (CEBC), Villiers-en-Bois, Nouvelle-Aquitaine, France; Takahashi, Akinori, National Institute of Polar Research, Tokyo, Japan, Polar Science Program, The Graduate University for Advanced Studies, Hayama, Kanagawa, Japan; Thiebot, Jean Baptiste, National Institute of Polar Research, Tokyo, Japan, Graduate School of Fisheries Sciences, Hokkaido University, Sapporo, Hokkaido, Japan; Visani, Muriel, Laboratoire Informatique, Image et Interaction (L3i), La Rochelle, Nouvelle-Aquitaine, France; Coustaty, Mickaël, Laboratoire Informatique, Image et Interaction (L3i), La Rochelle, Nouvelle-Aquitaine, France; Jeanniard-Du-Dot, Tiphaine, Centre d’Études Biologiques de Chizé (CEBC), Villiers-en-Bois, Nouvelle-Aquitaine, France","M. Chimienti; School of Ocean Sciences, Bangor University, Menai Bridge, United Kingdom; email: m.chimienti@bangor.ac.uk","","British Ecological Society","","","","","English","Methods Ecol. Evol.","Review","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105008457821"
"Houinato, R.K.; Idohou, R.; Glèlè Kakaï, R.L.G.; Brostaux, Y.","Houinato, Renaud Kévin (60209506300); Idohou, Rodrigue A.F. (55444236400); Glèlè Kakaï, Romain Lucas (24080472000); Brostaux, Yves (6507915283)","60209506300; 55444236400; 24080472000; 6507915283","A comprehensive analysis of the use of modelling and remote sensing techniques for monitoring and managing rangelands","2026","Trees, Forests and People","23","","101102","","","0","10.1016/j.tfp.2025.101102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022804111&doi=10.1016%2Fj.tfp.2025.101102&partnerID=40&md5=b24effdef0a1b89af557812a5abfcd77","Laboratory of Biomathematics and Forest Estimations, University of Abomey-Calavi, Cotonou, Littoral, Benin; School of Crop and Seed Production and Management, National University of Agriculture, Kétou, Benin; Computer Science and Modeling Unit, Université de Liège, Liege, WLG, Belgium","Houinato, Renaud Kévin, Laboratory of Biomathematics and Forest Estimations, University of Abomey-Calavi, Cotonou, Littoral, Benin, Computer Science and Modeling Unit, Université de Liège, Liege, WLG, Belgium; Idohou, Rodrigue A.F., Laboratory of Biomathematics and Forest Estimations, University of Abomey-Calavi, Cotonou, Littoral, Benin, School of Crop and Seed Production and Management, National University of Agriculture, Kétou, Benin; Glèlè Kakaï, Romain Lucas, Laboratory of Biomathematics and Forest Estimations, University of Abomey-Calavi, Cotonou, Littoral, Benin; Brostaux, Yves, Computer Science and Modeling Unit, Université de Liège, Liege, WLG, Belgium","R.K. Houinato; Laboratory of Biomathematics and Forest Estimations, Faculty of Agricultural Sciences, University of Abomey-Calavi, Abomey-Calavi, 04 BP 1525, Benin; email: houinatorenaud@gmail.com","","Elsevier B.V.","","","","","English","Tree. For. People.","Review","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105022804111"
"Lu, S.; Fang, C.; Zeng, H.; Hu, R.; Wei, C.; Miao, R.; Gan, X.; Guo, B.; Yao, M.; He, S.","Lu, Suxiang (57200074042); Fang, Chengchi (57189465521); Zeng, Honghui (57208338515); Hu, Ruitong (60152209900); Wei, Chaojun (60397431800); Miao, Rongli (57205405559); Gan, Xiaoni (23012010100); Guo, Baocheng (24450268400); Yao, M. (36852632500); He, Shunping (7402691143)","57200074042; 57189465521; 57208338515; 60152209900; 60397431800; 57205405559; 23012010100; 24450268400; 36852632500; 7402691143","Advancing biological taxonomy in the AI era: deep learning applications, challenges, and future directions","2026","Science China Life Sciences","69","1","","37","50","0","10.1007/s11427-025-3074-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019583533&doi=10.1007%2Fs11427-025-3074-8&partnerID=40&md5=fbe8b13c77040684a5d6c56392c070eb","State Key Laboratory of Breeding Biotechnology and Sustainable Aquaculture, Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan, Hubei, China; University of Chinese Academy of Sciences, Beijing, China; Key Laboratory of Zoological Systematics and Evolution & State Key Laboratory of Integrated Management of Pest Insects and Rodents, Institute of Zoology Chinese Academy of Sciences, Beijing, Beijing, China; Peking University, Beijing, China; Institute of Deep-Sea Science and Engineering, Sanya, Hainan, China; Center for Excellence in Animal Evolution and Genetics, Chinese Academy of Sciences, Beijing, Beijing, China","Lu, Suxiang, State Key Laboratory of Breeding Biotechnology and Sustainable Aquaculture, Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan, Hubei, China; Fang, Chengchi, State Key Laboratory of Breeding Biotechnology and Sustainable Aquaculture, Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan, Hubei, China; Zeng, Honghui, State Key Laboratory of Breeding Biotechnology and Sustainable Aquaculture, Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan, Hubei, China; Hu, Ruitong, State Key Laboratory of Breeding Biotechnology and Sustainable Aquaculture, Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan, Hubei, China, University of Chinese Academy of Sciences, Beijing, China; Wei, Chaojun, State Key Laboratory of Breeding Biotechnology and Sustainable Aquaculture, Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan, Hubei, China; Miao, Rongli, State Key Laboratory of Breeding Biotechnology and Sustainable Aquaculture, Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan, Hubei, China; Gan, Xiaoni, State Key Laboratory of Breeding Biotechnology and Sustainable Aquaculture, Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan, Hubei, China; Guo, Baocheng, Key Laboratory of Zoological Systematics and Evolution & State Key Laboratory of Integrated Management of Pest Insects and Rodents, Institute of Zoology Chinese Academy of Sciences, Beijing, Beijing, China; Yao, M., Peking University, Beijing, China; He, Shunping, State Key Laboratory of Breeding Biotechnology and Sustainable Aquaculture, Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan, Hubei, China, Institute of Deep-Sea Science and Engineering, Sanya, Hainan, China, Center for Excellence in Animal Evolution and Genetics, Chinese Academy of Sciences, Beijing, Beijing, China","S. He; State Key Laboratory of Breeding Biotechnology and Sustainable Aquaculture, Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan, 430072, China; email: clad@ihb.ac.cn; B. Guo; State Key Laboratory of Animal Biodiversity Conservation and Integrated Pest Management & Key Laboratory of Zoological Systematics and Evolution, Institute of Zoology, Chinese Academy of Sciences, Beijing, 100101, China; email: guobaocheng@ioz.ac.cn; M. Yao; State Key Laboratory of Protein and Plant Gene Research, School of Life Sciences, Peking University, Beijing, 100871, China; email: yaom@pku.edu.cn","","Science China Press","16747305","","","41136689","English","Sci. China Life Sci.","Review","Final","","Scopus","2-s2.0-105019583533"
"Kulicki, M.; Cabo, C.; Trzcinski, T.; Bédkowski, J.; Stereńczak, K.","Kulicki, Maksymilian (58772851800); Cabo, C. (55940944800); Trzcinski, Tomasz P. (57202417075); Bédkowski, Janusz Marian (23670191600); Stereńczak, Krzysztof Jan (36623051000)","58772851800; 55940944800; 57202417075; 23670191600; 36623051000","Artificial Intelligence and Terrestrial Point Clouds for Forest Monitoring","2025","Current Forestry Reports","11","1","5","","","14","10.1007/s40725-024-00234-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213569503&doi=10.1007%2Fs40725-024-00234-4&partnerID=40&md5=05f2211b68fdd7bb8a8e3144d4887ab8","IDEAS NCBR Sp. z.o.o., Warsaw, Poland; Institute of Fundamental Technological Research of the Polish Academy of Sciences, Warsaw, MA, Poland; Department of Mining Exploitation and Prospecting, Universidad de Oviedo, Oviedo, Asturias, Spain; Politechnika Warszawska, Warsaw, MA, Poland; Tooploox Sp. z o.o., Wroclaw, Poland; Department of Geomatics, Forest Research Institute, Sękocin Stary, India","Kulicki, Maksymilian, IDEAS NCBR Sp. z.o.o., Warsaw, Poland, Institute of Fundamental Technological Research of the Polish Academy of Sciences, Warsaw, MA, Poland; Cabo, C., Department of Mining Exploitation and Prospecting, Universidad de Oviedo, Oviedo, Asturias, Spain; Trzcinski, Tomasz P., IDEAS NCBR Sp. z.o.o., Warsaw, Poland, Politechnika Warszawska, Warsaw, MA, Poland, Tooploox Sp. z o.o., Wroclaw, Poland; Bédkowski, Janusz Marian, Institute of Fundamental Technological Research of the Polish Academy of Sciences, Warsaw, MA, Poland; Stereńczak, Krzysztof Jan, IDEAS NCBR Sp. z.o.o., Warsaw, Poland, Department of Geomatics, Forest Research Institute, Sękocin Stary, India","M. Kulicki; IDEAS NCBR, Warsaw, ul. Chmielna 69, 00–801, Poland; email: maksymilian.kulicki@ideas-ncbr.pl","","Springer Science and Business Media Deutschland GmbH","","","","","English","Curr. For. Rep.","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85213569503"
"Martinez, E.S.; Tejada-Gutiérrez, E.; Sorribas, A.; Mateo-Fornés, J.; Solsona, F.; Defacio, R.; Alves, R.","Martinez, Emilce Soledad (59315384600); Tejada-Gutiérrez, Eva Luz (58139049400); Sorribas, Albert (7003533623); Mateo-Fornés, Jordi (56091725300); Solsona, Francesc Francesc (8951969200); Defacio, Raquel Alicia (36808928200); Alves, Rui (58371035700)","59315384600; 58139049400; 7003533623; 56091725300; 8951969200; 36808928200; 58371035700","Multimodal data integration to model, predict, and understand changes in plant biodiversity: a systematic review","2025","Ecological Informatics","92","","103485","","","0","10.1016/j.ecoinf.2025.103485","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020992541&doi=10.1016%2Fj.ecoinf.2025.103485&partnerID=40&md5=2752431cb97f7c5d92faaa46c7785e1d","Department of Basic Medical Sciences, Universitat de Lleida, Lleida, Lleida, Spain; Instituto Nacional de Tecnología Agropecuaria Buenos Aires, Buenos Aires, Argentina; Departament d’Enginyeria Informàtica i Disseny Digital, Universitat de Lleida, Lleida, Lleida, Spain","Martinez, Emilce Soledad, Department of Basic Medical Sciences, Universitat de Lleida, Lleida, Lleida, Spain, Instituto Nacional de Tecnología Agropecuaria Buenos Aires, Buenos Aires, Argentina; Tejada-Gutiérrez, Eva Luz, Department of Basic Medical Sciences, Universitat de Lleida, Lleida, Lleida, Spain; Sorribas, Albert, Department of Basic Medical Sciences, Universitat de Lleida, Lleida, Lleida, Spain; Mateo-Fornés, Jordi, Departament d’Enginyeria Informàtica i Disseny Digital, Universitat de Lleida, Lleida, Lleida, Spain; Solsona, Francesc Francesc, Departament d’Enginyeria Informàtica i Disseny Digital, Universitat de Lleida, Lleida, Lleida, Spain; Defacio, Raquel Alicia, Instituto Nacional de Tecnología Agropecuaria Buenos Aires, Buenos Aires, Argentina; Alves, Rui, Department of Basic Medical Sciences, Universitat de Lleida, Lleida, Lleida, Spain","R. Alves; Departament de Ciencies Mèdiques Bàsiques, Universitat de Lleida & IRBLleida, Lleida, Spain; email: rui.alves@udl.cat","","Elsevier B.V.","15749541","","","","English","Ecol. Informatics","Review","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105020992541"
"Lee, Q.X.; Teo, F.Y.; Selvarajoo, A.; Lim, S.P.; Goh, H.B.; Falconer, R.A.","Lee, Qian Xuan (60212198100); Teo, Fang Yenn (35249518400); Selvarajoo, Anurita (56941851700); Lim, Sinpoh (58078785300); Goh, Hooi Bein (57212134077); Falconer, Roger A. (57160765800)","60212198100; 35249518400; 56941851700; 58078785300; 57212134077; 57160765800","A Review of Assessment Methods for Coastal Hydro-Environmental Processes: Research Trends and Challenges","2025","Water (Switzerland)","17","22","3278","","","1","10.3390/w17223278","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023121805&doi=10.3390%2Fw17223278&partnerID=40&md5=d63e30db8f89c74d544495b082533559","Faculty of Science and Engineering, The University of Nottingham Malaysia Campus, Semenyih, Selangor, Malaysia; Global Water Consultants sdn bhd, Kuala Lumpur, Kuala Lumpur, Malaysia; Cardiff University, Cardiff, South Glamorgan, Wales, United Kingdom","Lee, Qian Xuan, Faculty of Science and Engineering, The University of Nottingham Malaysia Campus, Semenyih, Selangor, Malaysia; Teo, Fang Yenn, Faculty of Science and Engineering, The University of Nottingham Malaysia Campus, Semenyih, Selangor, Malaysia; Selvarajoo, Anurita, Faculty of Science and Engineering, The University of Nottingham Malaysia Campus, Semenyih, Selangor, Malaysia; Lim, Sinpoh, Global Water Consultants sdn bhd, Kuala Lumpur, Kuala Lumpur, Malaysia; Goh, Hooi Bein, Global Water Consultants sdn bhd, Kuala Lumpur, Kuala Lumpur, Malaysia; Falconer, Roger A., Cardiff University, Cardiff, South Glamorgan, Wales, United Kingdom","F.Y. Teo; Faculty of Science and Engineering, University of Nottingham Malaysia, Semenyih, 43500, Malaysia; email: fangyenn.teo@nottingham.edu.my","","Multidisciplinary Digital Publishing Institute (MDPI)","","","","","English","Water","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105023121805"
"Zerrouk, M.; Ait El Kadi, K.; Sebari, I.; Fellahi, S.","Zerrouk, Marwa (60191735600); Ait El Kadi, Kenza (58125986100); Sebari, Imane I. (23493714000); Fellahi, Siham (56763990600)","60191735600; 58125986100; 23493714000; 56763990600","Machine and Deep Learning for Wetland Mapping and Bird-Habitat Monitoring: A Systematic Review of Remote-Sensing Applications (2015–April 2025)","2025","Remote Sensing","17","21","3605","","","1","10.3390/rs17213605","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021624449&doi=10.3390%2Frs17213605&partnerID=40&md5=a835af647cc4e9bfa6e4c4eb1c1a8239","Department of Cartography and Photogrammetry, Agriculture and Veterinary Medicine Institute Hassan II, Rabat, Morocco; Department of Pathology and Veterinary Public Health, Institut Agronomique et Veterinaire Hassan II, Agdal Rabat, Rabat-Sale-Zemmour-Zaer, Morocco","Zerrouk, Marwa, Department of Cartography and Photogrammetry, Agriculture and Veterinary Medicine Institute Hassan II, Rabat, Morocco; Ait El Kadi, Kenza, Department of Cartography and Photogrammetry, Agriculture and Veterinary Medicine Institute Hassan II, Rabat, Morocco; Sebari, Imane I., Department of Cartography and Photogrammetry, Agriculture and Veterinary Medicine Institute Hassan II, Rabat, Morocco; Fellahi, Siham, Department of Pathology and Veterinary Public Health, Institut Agronomique et Veterinaire Hassan II, Agdal Rabat, Rabat-Sale-Zemmour-Zaer, Morocco","M. Zerrouk; Department of Cartography and Photogrammetry, School of Geomatics and Surveying Engineering, Agriculture and Veterinary Medicine Institute Hassan II, Rabat, 10000, Morocco; email: zerroukmarwa@iav.ac.ma","","Multidisciplinary Digital Publishing Institute (MDPI)","","9780891814184; 0891814183; 9780123694072","","","English","Remote Sens.","Review","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105021624449"
"Matthews, T.; Neely, R.R.; Melnikov, V.; Hassall, C.","Matthews, Tommy (59530274300); Neely, Ryan Reynolds (26533129200); Melnikov, Valery M. (7004349915); Hassall, Christopher (25924905300)","59530274300; 26533129200; 7004349915; 25924905300","Taxonomic resolution in dual-polarization weather radar observations of biological scatterers: A systematic review","2025","Ecosphere","16","10","e70419","","","0","10.1002/ecs2.70419","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020411786&doi=10.1002%2Fecs2.70419&partnerID=40&md5=1a5b8d1574c8a67c0631cdf6ea285e35","School of Biology, University of Leeds, Leeds, West Yorkshire, United Kingdom; University of Leeds, Leeds, West Yorkshire, United Kingdom; School of Earth and Environment, University of Leeds, Leeds, West Yorkshire, United Kingdom; The University of Oklahoma, Norman, OK, United States; NOAA National Severe Storms Laboratory, Norman, OK, United States","Matthews, Tommy, School of Biology, University of Leeds, Leeds, West Yorkshire, United Kingdom, University of Leeds, Leeds, West Yorkshire, United Kingdom; Neely, Ryan Reynolds, University of Leeds, Leeds, West Yorkshire, United Kingdom, School of Earth and Environment, University of Leeds, Leeds, West Yorkshire, United Kingdom; Melnikov, Valery M., The University of Oklahoma, Norman, OK, United States, NOAA National Severe Storms Laboratory, Norman, OK, United States; Hassall, Christopher, School of Biology, University of Leeds, Leeds, West Yorkshire, United Kingdom","T. Matthews; School of Biology, Faculty of Biological Sciences, University of Leeds, Leeds, United Kingdom; email: thomas.matthews@ncas.ac.uk","","John Wiley and Sons Inc","","","","","English","Ecosphere","Review","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105020411786"
"Bose, S.; Hazra, S.; Mondal, B.; Sengupta, S.; Sen, P.; Ansari, R.; Maity, S.; Ghorai, S.; De, P.; Das, S.","Bose, Suvojit (57892640500); Hazra, Soham (57222654118); Mondal, Bipradeep (57381557500); Sengupta, Sudip (57221227511); Sen, Poulomi (57221699642); Ansari, Rounaq (59354695500); Maity, Soham (60141032300); Ghorai, Subhadwip (59718481400); De, Parijat (60141032400); Das, Satadal (60140540500)","57892640500; 57222654118; 57381557500; 57221227511; 57221699642; 59354695500; 60141032300; 59718481400; 60141032400; 60140540500","Application of artificial intelligence (AI) for conservation of endangered plant species: a comprehensive review based on global bibliometry","2025","Biodiversity and Conservation","34","12","","4103","4156","0","10.1007/s10531-025-03169-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018761868&doi=10.1007%2Fs10531-025-03169-9&partnerID=40&md5=3c6579faa1b577072f74e14c77c3115c","Department of Vegetable and Spice Crops, Uttar Banga Krishi Vishwavidyalaya, Cooch Behar, WB, India; Department of Agriculture, Brainware University, Kolkata, WB, India; Department of Environmental Sciences, Central University of Jharkhand, Ranchi, JH, India; Department of Ecological Studies, University of Kalyani, Kalyani, WB, India; School of Agriculture, Swami Vivekananda University, Barrackpore, WB, India; School of Agricultural Sciences, Sister Nivedita University, Kolkata, WB, India; Department of Vegetable Science, Bidhan Chandra Krishi Viswavidyalaya, Mohanpur, WB, India","Bose, Suvojit, Department of Vegetable and Spice Crops, Uttar Banga Krishi Vishwavidyalaya, Cooch Behar, WB, India; Hazra, Soham, Department of Agriculture, Brainware University, Kolkata, WB, India; Mondal, Bipradeep, Department of Environmental Sciences, Central University of Jharkhand, Ranchi, JH, India, Department of Ecological Studies, University of Kalyani, Kalyani, WB, India; Sengupta, Sudip, School of Agriculture, Swami Vivekananda University, Barrackpore, WB, India; Sen, Poulomi, School of Agricultural Sciences, Sister Nivedita University, Kolkata, WB, India; Ansari, Rounaq, School of Agricultural Sciences, Sister Nivedita University, Kolkata, WB, India; Maity, Soham, Department of Agriculture, Brainware University, Kolkata, WB, India; Ghorai, Subhadwip, Department of Agriculture, Brainware University, Kolkata, WB, India; De, Parijat, Department of Agriculture, Brainware University, Kolkata, WB, India; Das, Satadal, Department of Vegetable and Spice Crops, Uttar Banga Krishi Vishwavidyalaya, Cooch Behar, WB, India, Department of Vegetable Science, Bidhan Chandra Krishi Viswavidyalaya, Mohanpur, WB, India","S. Hazra; Department of Agriculture, Brainware University, Kolkata, West Bengal, 700125, India; email: sohamhazra94@gmail.com","","Springer Science and Business Media B.V.","09603115","","BONSE","","English","Biodiversity Conserv.","Review","Final","","Scopus","2-s2.0-105018761868"
"Kroth, F.; Kuhwald, K.; Schneider, T.; Oppelt, N.","Kroth, Frederike (59215935900); Kuhwald, Katja (57208800217); Schneider, Thomas (57194226390); Oppelt, Natascha M. (6508003494)","59215935900; 57208800217; 57194226390; 6508003494","Habitat suitability and species distribution modelling in lake macrophyte research: A systematic review","2025","Ecological Indicators","179","","114141","","","0","10.1016/j.ecolind.2025.114141","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015608989&doi=10.1016%2Fj.ecolind.2025.114141&partnerID=40&md5=9748d42f5aaf1b2c5d1f5b624b629f87","Earth Observation and Modelling, Christian-Albrechts-Universität zu Kiel, Kiel, Schleswig-Holstein, Germany; Aquatic Systems Biology Unit, Technische Universität München, Munich, Bayern, Germany","Kroth, Frederike, Earth Observation and Modelling, Christian-Albrechts-Universität zu Kiel, Kiel, Schleswig-Holstein, Germany, Aquatic Systems Biology Unit, Technische Universität München, Munich, Bayern, Germany; Kuhwald, Katja, Earth Observation and Modelling, Christian-Albrechts-Universität zu Kiel, Kiel, Schleswig-Holstein, Germany; Schneider, Thomas, Aquatic Systems Biology Unit, Technische Universität München, Munich, Bayern, Germany; Oppelt, Natascha M., Earth Observation and Modelling, Christian-Albrechts-Universität zu Kiel, Kiel, Schleswig-Holstein, Germany","F. Kroth; Earth Observation and Modelling, Department of Geography, Kiel University, Kiel, Ludewig-Meyn-Str. 8, Schleswig-Holstein, 24098, Germany; email: kroth@geographie.uni-kiel.de","","Elsevier B.V.","1470160X","","","","English","Ecol. Indic.","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105015608989"
