FileID,Task
Martinez_2025,Prediction/Regression
Martinez_2025,Classification
Zerrouk_2025,Prediction/Regression
Zerrouk_2025,Classification
Matthews_2025,Classification
Matthews_2025,Clustering
Lu_2025,Classification
Kroth_2025,Prediction/Regression
Kim_2025,Prediction/Regression
Wang_2025,Prediction/Regression
Abdenour_2025,Prediction/Regression
Abdenour_2025,Classification
Abdenour_2025,Clustering
Feldmeier_2025,Prediction/Regression
Chimienti_2025,Classification
Miller_2025,Prediction/Regression
Miller_2025,Classification
Cipriano_2025,Prediction/Regression
Cipriano_2025,Classification
Cipriano_2025,Dimensionality reduction
Chiloane_2025,Prediction/Regression
Axford_2024,Classification
Pasanisi_2024,Prediction/Regression
Wang_2024,Prediction/Regression
Wang_2024,Classification
Kohlberg_2024,Classification
Jelas_2024,Prediction/Regression
Jelas_2024,Classification
Jelas_2024,Clustering
Lazcano-Hernandez_2023,Classification
Rubbens_2023,Prediction/Regression
Rubbens_2023,Classification
Sharma_2023,Classification
Ho_2022,Prediction/Regression
Ho_2022,Classification
Ho_2022,Clustering
Cruz_2022,Prediction/Regression
Cruz_2022,Classification
Borowiec_2022,Prediction/Regression
Borowiec_2022,Classification
Farrell_2022,Other
Hussein_2022,Generation
Hussein_2022,Classification
Hussein_2022,Clustering
Stupariu_2022,Prediction/Regression
Stupariu_2022,Classification
Stupariu_2022,Clustering
Silva_2021,Prediction/Regression
Nitoslawski_2021,Prediction/Regression
Nitoslawski_2021,Classification
Lurig_2021,Classification
Corcoran_2021,Classification
Lopez-Marcano_2020,Classification
Christin_2019,Prediction/Regression
Christin_2019,Classification
Gobeyn_2019,Prediction/Regression
Dujon_2019,Classification
Liu_2018,Prediction/Regression
Weinstein_2017,Classification
Kulicki_2024,Classification
Bose_2025,Prediction/Regression
Bose_2025,Classification
Mkuzi_2025,Classification
Gallerani_2025,Prediction/Regression
Liu_2025,Prediction/Regression
Xu_2025,Prediction/Regression
Xu_2025,Classification
Kyalo_2025,Classification
Wu_2025,Classification
Suleman_2025,Prediction/Regression
Suleman_2025,Classification
Morante-Carballo_2025,Prediction/Regression
Ozcan_2024,Prediction/Regression
Bao_2024,Prediction/Regression
Zhong_2024,Classification
Cardenas_2024,Classification
Xu_2024,Classification
Ma_2024,Prediction/Regression
Ma_2024,Classification
Matyukira_2024,Classification
Safonova_2023,Classification
Lee_2023,Prediction/Regression
Hirchmugl_2023,Prediction/Regression
Hirchmugl_2023,Classification
Veiga-Branco_2023,Prediction/Regression
Veiga-Branco_2023,Classification
Pillodar_2023,Prediction/Regression
Pillodar_2023,Classification
Mulugeta_2024,Classification
Kerry_2022,Classification
Katal_2022,Prediction/Regression
Katal_2022,Classification
Amarathunga_2021,Classification
Rana_2021,Prediction/Regression
Houinato_2025,Prediction/Regression
Houinato_2025,Classification
Lee_2025,Prediction/Regression
Shivaprakash_2022,Prediction/Regression
Shivaprakash_2022,Classification
Hayes_2025,Prediction/Regression
Hayes_2025,Classification
MacielPelanda_2025,Classification
Campbell_2025,Prediction/Regression
Campbell_2025,Classification
